UC,st,at,fet,ao,feo,fe2,mgo,cao,lio,mgh,cah,C_Td,C_Oct,Comments
D200,,,,,,,,,,,,,,Nontronite UC basic = D201
D201,8,0,0,0,4,0,0,0,0,0,0,0,0,Nontronite UC neutral
D202,7,1,0,1,3,0,0,0,0,0,0,-1,0,Nontronite UC Td Al Oct Al
D203,7,1,0,1,3,0,0,0,0,0,0,-1,0,Nontronite UC Td Al Oct Al
D204,8,0,0,0,3,1,0,0,0,0,0,0,-1,Nontronite UC Oct Fe2
D205,8,0,0,1,3,0,0,0,0,0,0,0,0,Nontronite UC neutral Oct Al
D206,8,0,0,1,3,0,0,0,0,0,0,0,0,Nontronite UC neutral Oct Al
D207,7,1,0,0,4,0,0,0,0,0,0,-1,0,Nontronite UC Td Al
D208,7,1,0,0,4,0,0,0,0,0,0,-1,0,Nontronite UC Td Al
D209,8,0,0,0,3,0,1,0,0,0,0,0,-1,Nontronite UC Oct Mg
D210,7,0,1,1,3,0,0,0,0,0,0,-1,0,Nontronite UC Td Fe Oct Al
D211,7,0,1,1,3,0,0,0,0,0,0,-1,0,Nontronite UC Td Fe Oct Al
D212,7,0,1,0,4,0,0,0,0,0,0,-1,0,Nontronite UC Td Fe
D213,7,0,1,0,4,0,0,0,0,0,0,-1,0,Nontronite UC Td Fe
D214,,,,,,,,,,,,,,Reserved number for Nontronite
D215,,,,,,,,,,,,,,Reserved number for Nontronite
D216,,,,,,,,,,,,,,Reserved number for Nontronite
D217,,,,,,,,,,,,,,Reserved number for Nontronite
D218,,,,,,,,,,,,,,Reserved number for Nontronite
D219,,,,,,,,,,,,,,Reserved number for Nontronite
D220,,,,,,,,,,,,,,Smectite UC basic - D221
D221,8,0,0,4,0,0,0,0,0,0,0,0,0,Smectite UC neutral
D222,8,0,0,3,0,0,1,0,0,0,0,0,-1,Smectite UC Oct Mg
D223,7,1,0,4,0,0,0,0,0,0,0,-1,0,Smectite UC Td Al
D224,7,1,0,4,0,0,0,0,0,0,0,-1,0,Smectite UC Td Al
D225,7,1,0,3,0,0,1,0,0,0,0,-1,-1,Smectite UC Td Al Oct Mg
D226,7,1,0,3,0,0,1,0,0,0,0,-1,-1,Smectite UC Td Al Oct Mg
D227,6,2,0,4,0,0,0,0,0,0,0,-2,0,Smectite UC 2 Td Al
D228,8,0,0,3,1,0,0,0,0,0,0,0,0,Smectite UC neutral Oct Fe3
D229,,,,,,,,,,,,,,Reserved for Smectite
D230,,,,,,,,,,,,,,Reserved for Smectite
D231,,,,,,,,,,,,,,Reserved for Smectite
D232,,,,,,,,,,,,,,Reserved for Smectite
D233,,,,,,,,,,,,,,Reserved for Smectite
D234,,,,,,,,,,,,,,Reserved for Smectite
D235,,,,,,,,,,,,,,Reserved for Smectite
