uc_id,base_id,substitution_sheet,substitutions,substitution_loc,charge,n_substitutions
001,000,T,ST2 -> AT2,t,-1.0,1
002,000,T,ST4 -> AT4,t,-1.0,1
003,000,T,ST6 -> AT6,b,-1.0,1
004,000,T,ST8 -> AT8,b,-1.0,1
005,000,T,ST2 -> FET2,t,-1.0,1
006,000,T,ST4 -> FET4,t,-1.0,1
007,000,T,ST6 -> FET6,b,-1.0,1
008,000,T,ST8 -> FET8,b,-1.0,1
009,000,O,FEO4 -> AO4,other,0.0,1
010,000,O,FEO4 -> FE24,other,-1.0,1
011,000,O,FEO4 -> MGO4,other,-1.0,1
012,000,T,ST2 -> AT2;ST4 -> AT4,t,-2.0,2
013,000,T,ST2 -> AT2;ST6 -> AT6,b,-2.0,2
014,000,T,ST2 -> AT2;ST8 -> AT8,b,-2.0,2
015,000,T,ST2 -> AT2;ST4 -> FET4,t,-2.0,2
016,000,T,ST2 -> AT2;ST6 -> FET6,b,-2.0,2
017,000,T,ST2 -> AT2;ST8 -> FET8,b,-2.0,2
018,000,O,FEO4 -> AO4;ST2 -> AT2,other,-1.0,2
019,000,O,FEO4 -> FE24;ST2 -> AT2,other,-2.0,2
020,000,O,FEO4 -> MGO4;ST2 -> AT2,other,-2.0,2
021,000,T,ST4 -> AT4;ST6 -> AT6,b,-2.0,2
022,000,T,ST4 -> AT4;ST8 -> AT8,b,-2.0,2
023,000,T,ST2 -> FET2;ST4 -> AT4,t,-2.0,2
024,000,T,ST4 -> AT4;ST6 -> FET6,b,-2.0,2
025,000,T,ST4 -> AT4;ST8 -> FET8,b,-2.0,2
026,000,O,FEO4 -> AO4;ST4 -> AT4,other,-1.0,2
027,000,O,FEO4 -> FE24;ST4 -> AT4,other,-2.0,2
028,000,O,FEO4 -> MGO4;ST4 -> AT4,other,-2.0,2
029,000,T,ST6 -> AT6;ST8 -> AT8,b,-2.0,2
030,000,T,ST2 -> FET2;ST6 -> AT6,t,-2.0,2
031,000,T,ST4 -> FET4;ST6 -> AT6,t,-2.0,2
032,000,T,ST6 -> AT6;ST8 -> FET8,b,-2.0,2
033,000,O,FEO4 -> AO4;ST6 -> AT6,other,-1.0,2
034,000,O,FEO4 -> FE24;ST6 -> AT6,other,-2.0,2
035,000,O,FEO4 -> MGO4;ST6 -> AT6,other,-2.0,2
036,000,T,ST2 -> FET2;ST8 -> AT8,t,-2.0,2
037,000,T,ST4 -> FET4;ST8 -> AT8,t,-2.0,2
038,000,T,ST6 -> FET6;ST8 -> AT8,b,-2.0,2
039,000,O,FEO4 -> AO4;ST8 -> AT8,other,-1.0,2
040,000,O,FEO4 -> FE24;ST8 -> AT8,other,-2.0,2
041,000,O,FEO4 -> MGO4;ST8 -> AT8,other,-2.0,2
042,000,T,ST2 -> FET2;ST4 -> FET4,t,-2.0,2
043,000,T,ST2 -> FET2;ST6 -> FET6,b,-2.0,2
044,000,T,ST2 -> FET2;ST8 -> FET8,b,-2.0,2
045,000,O,FEO4 -> AO4;ST2 -> FET2,other,-1.0,2
046,000,O,FEO4 -> FE24;ST2 -> FET2,other,-2.0,2
047,000,O,FEO4 -> MGO4;ST2 -> FET2,other,-2.0,2
048,000,T,ST4 -> FET4;ST6 -> FET6,b,-2.0,2
049,000,T,ST4 -> FET4;ST8 -> FET8,b,-2.0,2
050,000,O,FEO4 -> AO4;ST4 -> FET4,other,-1.0,2
051,000,O,FEO4 -> FE24;ST4 -> FET4,other,-2.0,2
052,000,O,FEO4 -> MGO4;ST4 -> FET4,other,-2.0,2
053,000,T,ST6 -> FET6;ST8 -> FET8,b,-2.0,2
054,000,O,FEO4 -> AO4;ST6 -> FET6,other,-1.0,2
055,000,O,FEO4 -> FE24;ST6 -> FET6,other,-2.0,2
056,000,O,FEO4 -> MGO4;ST6 -> FET6,other,-2.0,2
057,000,O,FEO4 -> AO4;ST8 -> FET8,other,-1.0,2
058,000,O,FEO4 -> FE24;ST8 -> FET8,other,-2.0,2
059,000,O,FEO4 -> MGO4;ST8 -> FET8,other,-2.0,2
060,000,T,ST2 -> AT2;ST4 -> AT4;ST6 -> AT6,b,-3.0,3
061,000,T,ST2 -> AT2;ST4 -> AT4;ST8 -> AT8,b,-3.0,3
062,000,T,ST2 -> AT2;ST4 -> AT4;ST6 -> FET6,b,-3.0,3
063,000,T,ST2 -> AT2;ST4 -> AT4;ST8 -> FET8,b,-3.0,3
064,000,O,FEO4 -> AO4;ST2 -> AT2;ST4 -> AT4,other,-2.0,3
065,000,O,FEO4 -> FE24;ST2 -> AT2;ST4 -> AT4,other,-3.0,3
066,000,O,FEO4 -> MGO4;ST2 -> AT2;ST4 -> AT4,other,-3.0,3
067,000,T,ST2 -> AT2;ST6 -> AT6;ST8 -> AT8,b,-3.0,3
068,000,T,ST2 -> AT2;ST4 -> FET4;ST6 -> AT6,t,-3.0,3
069,000,T,ST2 -> AT2;ST6 -> AT6;ST8 -> FET8,b,-3.0,3
070,000,O,FEO4 -> AO4;ST2 -> AT2;ST6 -> AT6,other,-2.0,3
071,000,O,FEO4 -> FE24;ST2 -> AT2;ST6 -> AT6,other,-3.0,3
072,000,O,FEO4 -> MGO4;ST2 -> AT2;ST6 -> AT6,other,-3.0,3
073,000,T,ST2 -> AT2;ST4 -> FET4;ST8 -> AT8,t,-3.0,3
074,000,T,ST2 -> AT2;ST6 -> FET6;ST8 -> AT8,b,-3.0,3
075,000,O,FEO4 -> AO4;ST2 -> AT2;ST8 -> AT8,other,-2.0,3
076,000,O,FEO4 -> FE24;ST2 -> AT2;ST8 -> AT8,other,-3.0,3
077,000,O,FEO4 -> MGO4;ST2 -> AT2;ST8 -> AT8,other,-3.0,3
078,000,T,ST2 -> AT2;ST4 -> FET4;ST6 -> FET6,b,-3.0,3
079,000,T,ST2 -> AT2;ST4 -> FET4;ST8 -> FET8,b,-3.0,3
080,000,O,FEO4 -> AO4;ST2 -> AT2;ST4 -> FET4,other,-2.0,3
081,000,O,FEO4 -> FE24;ST2 -> AT2;ST4 -> FET4,other,-3.0,3
082,000,O,FEO4 -> MGO4;ST2 -> AT2;ST4 -> FET4,other,-3.0,3
083,000,T,ST2 -> AT2;ST6 -> FET6;ST8 -> FET8,b,-3.0,3
084,000,O,FEO4 -> AO4;ST2 -> AT2;ST6 -> FET6,other,-2.0,3
085,000,O,FEO4 -> FE24;ST2 -> AT2;ST6 -> FET6,other,-3.0,3
086,000,O,FEO4 -> MGO4;ST2 -> AT2;ST6 -> FET6,other,-3.0,3
087,000,O,FEO4 -> AO4;ST2 -> AT2;ST8 -> FET8,other,-2.0,3
088,000,O,FEO4 -> FE24;ST2 -> AT2;ST8 -> FET8,other,-3.0,3
089,000,O,FEO4 -> MGO4;ST2 -> AT2;ST8 -> FET8,other,-3.0,3
090,000,T,ST4 -> AT4;ST6 -> AT6;ST8 -> AT8,b,-3.0,3
091,000,T,ST2 -> FET2;ST4 -> AT4;ST6 -> AT6,t,-3.0,3
092,000,T,ST4 -> AT4;ST6 -> AT6;ST8 -> FET8,b,-3.0,3
093,000,O,FEO4 -> AO4;ST4 -> AT4;ST6 -> AT6,other,-2.0,3
094,000,O,FEO4 -> FE24;ST4 -> AT4;ST6 -> AT6,other,-3.0,3
095,000,O,FEO4 -> MGO4;ST4 -> AT4;ST6 -> AT6,other,-3.0,3
096,000,T,ST2 -> FET2;ST4 -> AT4;ST8 -> AT8,t,-3.0,3
097,000,T,ST4 -> AT4;ST6 -> FET6;ST8 -> AT8,b,-3.0,3
